weaks,revenue
2013-01-06,140307692308
2013-01-13,157538461538
2013-01-20,174769230769
2013-01-27,192000000000
2013-02-03,209230769231
2013-02-10,226461538461
2013-02-17,243692307692
2013-02-24,260923076923
2013-03-03,305230769231
2013-03-10,361846153846
2013-03-17,418461538461
2013-03-24,475076923077
2013-03-31,531692307692
2013-04-07,588307692308
2013-04-14,644923076923
2013-04-21,701538461538
2013-04-28,758153846154
2013-05-05,814769230769
2013-05-12,871384615384
2013-05-19,928000000000
2013-05-26,984615384615
2013-06-02,1083076923077
2013-06-09,1132307692307
2013-06-16,1181538461538
2013-06-23,1230769230769
2013-06-30,1280000000000
2013-07-07,1329230769231
2013-07-14,1378461538461
2013-07-21,1427692307692
2013-07-28,1476923076923
2013-08-04,1526153846154
2013-08-11,1575384615384
2013-08-18,1624615384615
2013-08-25,1673846153846
2013-09-01,1675076923077
2013-09-08,1713230769230
2013-09-15,1751384615384
2013-09-22,1789538461538
2013-09-29,1827692307692
2013-10-06,1865846153846
2013-10-13,1904000000000
2013-10-20,1942153846153
2013-10-27,1980307692307
2013-11-03,2018461538461
2013-11-10,2056615384615
2013-11-17,2094769230769
2013-11-24,2132923076923
2013-12-01,2168615384615
2013-12-08,2216615384615
2013-12-15,2264615384615
2013-12-22,2312615384615
2013-12-29,2360615384615
2014-01-05,1080173076923
2014-01-12,1096884615385
2014-01-19,1113596153846
2014-01-26,1130307692308
2014-02-02,1147019230769
2014-02-09,1163730769231
2014-02-16,1180442307692
2014-02-23,1197153846154
2014-03-02,285615384615
2014-03-09,331192307692
2014-03-16,376769230769
2014-03-23,422346153846
2014-03-30,467923076923
2014-04-06,513500000000
2014-04-13,559076923077
2014-04-20,604653846154
2014-04-27,650230769231
2014-05-04,695807692308
2014-05-11,741384615385
2014-05-18,786961538462
2014-05-25,832538461539
2014-06-01,908500000000
2014-06-08,938884615385
2014-06-15,969269230769
2014-06-22,999653846154
2014-06-29,1030038461539
2014-07-06,1060423076923
2014-07-13,1090807692308
2014-07-20,1121192307692
2014-07-27,1151576923077
2014-08-03,1181961538462
2014-08-10,1212346153846
2014-08-17,1242730769231
2014-08-24,1273115384616
2014-08-31,1303500000000
2014-09-07,2541673076923
2014-09-14,2579653846154
2014-09-21,2617634615385
2014-09-28,2655615384616
2014-10-05,2693596153847
2014-10-12,2731576923077
2014-10-19,2769557692308
2014-10-26,2807538461539
2014-11-02,2845519230770
2014-11-09,2883500000000
2014-11-16,2921480769231
2014-11-23,2959461538462
2014-11-30,2997442307693
2014-12-07,2921480769231
2014-12-14,2982250000000
2014-12-21,3043019230770
2014-12-28,3103788461539
2015-01-04,662153846154
2015-01-11,708923076923
2015-01-18,755692307692
2015-01-25,802461538461
2015-02-01,849230769231
2015-02-08,896000000000
2015-02-15,942769230769
2015-02-22,989538461538
2015-03-01,989538461538
2015-03-08,1088000000000
2015-03-15,1186461538461
2015-03-22,1284923076923
2015-03-29,1383384615384
2015-04-05,1481846153846
2015-04-12,1580307692307
2015-04-19,1678769230769
2015-04-26,1777230769230
2015-05-03,1875692307692
2015-05-10,1974153846153
2015-05-17,2072615384615
2015-05-24,2171076923077
2015-05-31,2269538461538
2015-06-07,2368000000000
2015-06-14,2417230769230
2015-06-21,2466461538461
2015-06-28,2515692307692
2015-07-05,2564923076923
2015-07-12,2614153846153
2015-07-19,2663384615384
2015-07-26,2712615384615
2015-08-02,2761846153846
2015-08-09,2811076923076
2015-08-16,2860307692307
2015-08-23,2909538461538
2015-08-30,2958769230769
2015-09-06,3003076923076
2015-09-13,3096615384615
2015-09-20,3190153846153
2015-09-27,3283692307692
2015-10-04,3377230769230
2015-10-11,3470769230769
2015-10-18,3564307692307
2015-10-25,3657846153845
2015-11-01,3751384615384
2015-11-08,3844923076922
2015-11-15,3938461538461
2015-11-22,4031999999999
2015-11-29,4125538461538
2015-12-06,4273230769230
2015-12-13,4347076923076
2015-12-20,4420923076922
2015-12-27,4494769230768
2016-01-03,1054957692308
2016-01-10,1119530769231
2016-01-17,1184103846154
2016-01-24,1248676923077
2016-01-31,1313250000000
2016-02-07,1377823076923
2016-02-14,1442396153846
2016-02-21,1506969230769
2016-02-28,1571542307692
2016-03-06,1571542307692
2016-03-13,1730003846154
2016-03-20,1888465384615
2016-03-27,2046926923077
2016-04-03,2205388461538
2016-04-10,2363850000000
2016-04-17,2522311538461
2016-04-24,2680773076923
2016-05-01,2839234615384
2016-05-08,2997696153846
2016-05-15,3156157692307
2016-05-22,3314619230769
2016-05-29,3473080769230
2016-06-05,3671157692307
2016-06-12,3790003846153
2016-06-19,3908850000000
2016-06-26,4027696153846
2016-07-03,4146542307692
2016-07-10,4265388461538
2016-07-17,4384234615384
2016-07-24,4503080769230
2016-07-31,4621926923076
2016-08-07,4740773076923
2016-08-14,4859619230769
2016-08-21,4978465384615
2016-08-28,5097311538461
2016-09-04,5136926923076
2016-09-11,5255773076922
2016-09-18,5374619230769
2016-09-25,5493465384615
2016-10-02,5612311538461
2016-10-09,5731157692307
2016-10-16,5850003846153
2016-10-23,5968849999999
2016-10-30,6087696153845
2016-11-06,6206542307692
2016-11-13,6325388461538
2016-11-20,6444234615384
2016-11-27,6563080769230
2016-12-04,6836426923076
2016-12-11,6990926923076
2016-12-18,7145426923076
2016-12-25,7299926923076
2017-01-01,1488576923077
2017-01-08,1544846153846
2017-01-15,1601115384616
2017-01-22,1657384615385
2017-01-29,1713653846154
2017-02-05,1769923076923
2017-02-12,1826192307692
2017-02-19,1882461538462
2017-02-26,1938730769231
2017-03-05,1662500000000
2017-03-12,1795500000000
2017-03-19,1928500000000
2017-03-26,2061500000000
2017-04-02,2194500000000
2017-04-09,2327500000000
2017-04-16,2460500000000
2017-04-23,2593500000000
2017-04-30,2726500000000
2017-05-07,2859500000000
2017-05-14,2992500000000
2017-05-21,3125500000000
2017-05-28,3258500000000
2017-06-04,3908153846154
2017-06-11,4148576923077
2017-06-18,4389000000000
2017-06-25,4629423076923
2017-07-02,4869846153847
2017-07-09,5110269230770
2017-07-16,5350692307693
2017-07-23,5591115384616
2017-07-30,5831538461539
2017-08-06,6071961538462
2017-08-13,6312384615385
2017-08-20,6552807692308
2017-08-27,6793230769231
2017-09-03,6962038461539
2017-09-10,7130846153847
2017-09-17,7299653846154
2017-09-24,7468461538462
2017-10-01,7637269230770
2017-10-08,7806076923078
2017-10-15,7974884615385
2017-10-22,8143692307693
2017-10-29,8312500000001
2017-11-05,8481307692308
2017-11-12,8650115384616
2017-11-19,8818923076924
2017-11-26,8987730769231
2017-12-03,9033769230770
2017-12-10,9182115384616
2017-12-17,9330461538462
2017-12-24,9478807692308
2017-12-31,8251846153845
2018-01-07,263076923077
2018-01-14,311307692308
2018-01-21,359538461538
2018-01-28,407769230769
2018-02-04,456000000000
2018-02-11,504230769231
2018-02-18,552461538461
2018-02-25,600692307692
2018-03-04,729161538461
2018-03-11,883938461538
2018-03-18,1038715384615
2018-03-25,1193492307692
2018-04-01,1348269230769
2018-04-08,1503046153846
2018-04-15,1657823076923
2018-04-22,1812600000000
2018-04-29,1967376923077
2018-05-06,2122153846154
2018-05-13,2276930769231
2018-05-20,2431707692307
2018-05-27,2586484615384
2018-06-03,2656638461538
2018-06-10,2722407692307
2018-06-17,2788176923077
2018-06-24,2853946153846
2018-07-01,2919715384615
2018-07-08,2985484615384
2018-07-15,3051253846154
2018-07-22,3117023076923
2018-07-29,3182792307692
2018-08-05,3248561538461
2018-08-12,3314330769230
2018-08-19,3380100000000
2018-08-26,3445869230769
2018-09-02,4094792307692
2018-09-09,4752484615384
2018-09-16,5410176923076
2018-09-23,6067869230769
2018-09-30,6725561538461
2018-10-07,7383253846153
2018-10-14,8040946153845
2018-10-21,8698638461538
2018-10-28,9356330769230
2018-11-04,10014023076922
2018-11-11,10671715384614
2018-11-18,11329407692307
2018-11-25,11987099999999
2018-12-02,12030946153845
2018-12-09,12074792307691
2018-12-16,12118638461537
2018-12-23,12162484615384
2018-12-30,10332551923076
2019-01-06,334038461538
2019-01-13,449096153846
2019-01-20,564153846154
2019-01-27,679211538461
2019-02-03,794269230769
2019-02-10,909326923077
2019-02-17,1024384615384
2019-02-24,1139442307692
2019-03-03,1169134615384
2019-03-10,1280480769231
2019-03-17,1391826923077
2019-03-24,1503173076923
2019-03-31,1614519230769
2019-04-07,1725865384615
2019-04-14,1837211538461
2019-04-21,1948557692307
2019-04-28,2059903846154
2019-05-05,2171250000000
2019-05-12,2282596153846
2019-05-19,2393942307692
2019-05-26,2505288461538
2019-06-02,2679730769230
2019-06-09,2828192307692
2019-06-16,2976653846153
2019-06-23,3125115384615
2019-06-30,3273576923077
2019-07-07,3422038461538
2019-07-14,3570500000000
2019-07-21,3718961538461
2019-07-28,3867423076923
2019-08-04,4015884615384
2019-08-11,4164346153846
2019-08-18,4312807692307
2019-08-25,4461269230769
2019-09-01,4628288461538
2019-09-08,4776749999999
2019-09-15,4925211538461
2019-09-22,5073673076922
2019-09-29,5222134615384
2019-10-06,5370596153845
2019-10-13,5519057692307
2019-10-20,5667519230769
2019-10-27,5815980769230
2019-11-03,5964442307692
2019-11-10,6112903846153
2019-11-17,6261365384615
2019-11-24,6409826923076
2019-12-01,7189249999999
2019-12-08,7931557692307
2019-12-15,8673865384614
2019-12-22,9416173076922
2019-12-29,11842788461538
2020-01-05,302884615385
2020-01-12,475961538462
2020-01-19,649038461538
2020-01-26,822115384615
2020-02-02,995192307692
2020-02-09,1168269230769
2020-02-16,1341346153846
2020-02-23,1514423076923
2020-03-01,1639903846154
2020-03-08,1765384615385
2020-03-15,1890865384615
2020-03-22,2016346153846
2020-03-29,2141826923077
2020-04-05,2267307692308
2020-04-12,2392788461538
2020-04-19,2518269230769
2020-04-26,2643750000000
2020-05-03,2769230769231
2020-05-10,2894711538461
2020-05-17,3020192307692
2020-05-24,3145673076923
2020-05-31,3271153846154
2020-06-07,3392307692308
2020-06-14,3574038461538
2020-06-21,3755769230769
2020-06-28,3937500000000
2020-07-05,4119230769231
2020-07-12,4300961538461
2020-07-19,4482692307692
2020-07-26,4664423076923
2020-08-02,4846153846154
2020-08-09,5027884615385
2020-08-16,5209615384615
2020-08-23,5391346153846
2020-08-30,5573076923077
2020-09-06,5850000000000
2020-09-13,6023076923077
2020-09-20,6196153846154
2020-09-27,6369230769231
2020-10-04,6542307692308
2020-10-11,6715384615384
